Deal No;NS;EW;Contract;Declarer;Tricks;Opening Lead
1;6;10;;;0;
1;3;4;;;0;
1;11;9;;;0;
1;12;1;3N;N;10;8S
1;5;8;;;0;
1;7;2;;;0;
2;12;1;2D;N;6;2D
2;11;9;;;0;
2;5;8;;;0;
2;7;2;;;0;
2;6;10;;;0;
2;3;4;;;0;
3;11;9;;;0;
3;12;1;Pass;N;0;
3;5;8;;;0;
3;7;2;;;0;
3;6;10;;;0;
3;3;4;;;0;
4;7;11;;;0;
4;12;2;;;0;
4;1;10;;;0;
4;6;9;;;0;
4;8;3;;;0;
4;4;5;;;0;
5;12;2;;;0;
5;1;10;;;0;
5;6;9;;;0;
5;8;3;;;0;
5;7;11;;;0;
5;4;5;;;0;
6;12;2;;;0;
6;1;10;;;0;
6;6;9;;;0;
6;8;3;;;0;
6;7;11;;;0;
6;4;5;;;0;
7;12;3;;;0;
7;2;11;;;0;
7;7;10;;;0;
7;9;4;;;0;
7;8;1;;;0;
7;5;6;;;0;
8;12;3;;;0;
8;2;11;;;0;
8;7;10;;;0;
8;9;4;;;0;
8;8;1;;;0;
8;5;6;;;0;
9;12;3;;;0;
9;2;11;;;0;
9;7;10;;;0;
9;9;4;;;0;
9;8;1;;;0;
9;5;6;;;0;
10;6;7;;;0;
10;12;4;;;0;
10;3;1;;;0;
10;8;11;;;0;
10;10;5;;;0;
10;9;2;;;0;
11;6;7;;;0;
11;12;4;;;0;
11;3;1;;;0;
11;8;11;;;0;
11;10;5;;;0;
11;9;2;;;0;
12;6;7;;;0;
12;12;4;;;0;
12;3;1;;;0;
12;8;11;;;0;
12;10;5;;;0;
12;9;2;;;0;
13;7;8;;;0;
13;12;5;;;0;
13;4;2;;;0;
13;9;1;;;0;
13;11;6;;;0;
13;10;3;;;0;
14;7;8;;;0;
14;12;5;;;0;
14;4;2;;;0;
14;9;1;;;0;
14;11;6;;;0;
14;10;3;;;0;
15;7;8;;;0;
15;12;5;;;0;
15;4;2;;;0;
15;9;1;;;0;
15;11;6;;;0;
15;10;3;;;0;
16;11;4;;;0;
16;8;9;;;0;
16;12;6;;;0;
16;5;3;;;0;
16;10;2;;;0;
16;1;7;;;0;
17;5;3;;;0;
17;11;4;;;0;
17;8;9;;;0;
17;12;6;;;0;
17;10;2;;;0;
17;1;7;;;0;
18;11;4;;;0;
18;8;9;;;0;
18;12;6;;;0;
18;5;3;;;0;
18;10;2;;;0;
18;1;7;;;0;
19;1;5;;;0;
19;9;10;;;0;
19;12;7;;;0;
19;6;4;;;0;
19;11;3;;;0;
19;2;8;;;0;
20;1;5;;;0;
20;9;10;;;0;
20;12;7;;;0;
20;6;4;;;0;
20;11;3;;;0;
20;2;8;;;0;
21;1;5;;;0;
21;9;10;;;0;
21;12;7;;;0;
21;6;4;;;0;
21;11;3;;;0;
21;2;8;;;0;
22;3;9;;;0;
22;2;6;;;0;
22;10;11;;;0;
22;12;8;;;0;
22;7;5;;;0;
22;1;4;;;0;
23;3;9;;;0;
23;2;6;;;0;
23;10;11;;;0;
23;12;8;;;0;
23;7;5;;;0;
23;1;4;;;0;
24;3;9;;;0;
24;2;6;;;0;
24;10;11;;;0;
24;12;8;;;0;
24;7;5;;;0;
24;1;4;;;0;
25;2;5;;;0;
25;4;10;;;0;
25;3;7;;;0;
25;11;1;;;0;
25;12;9;;;0;
25;8;6;;;0;
26;2;5;;;0;
26;4;10;;;0;
26;3;7;;;0;
26;11;1;;;0;
26;12;9;;;0;
26;8;6;;;0;
27;2;5;;;0;
27;4;10;;;0;
27;3;7;;;0;
27;11;1;;;0;
27;12;9;;;0;
27;8;6;;;0;
28;3;6;;;0;
28;5;11;;;0;
28;4;8;;;0;
28;1;2;;;0;
28;12;10;;;0;
28;9;7;;;0;
29;3;6;;;0;
29;5;11;;;0;
29;4;8;;;0;
29;1;2;;;0;
29;12;10;;;0;
29;9;7;;;0;
30;3;6;;;0;
30;5;11;;;0;
30;4;8;;;0;
30;1;2;;;0;
30;12;10;;;0;
30;9;7;;;0;
31;10;8;;;0;
31;4;7;;;0;
31;6;1;;;0;
31;5;9;;;0;
31;2;3;;;0;
31;12;11;;;0;
32;10;8;;;0;
32;4;7;;;0;
32;6;1;;;0;
32;5;9;;;0;
32;2;3;;;0;
32;12;11;;;0;
33;10;8;;;0;
33;4;7;;;0;
33;6;1;;;0;
33;5;9;;;0;
33;2;3;;;0;
33;12;11;;;0;
